Week,DayOfWeek,Meal,Recipe
1,Monday,Breakfast,Protein Oats
1,Monday,Lunch,Chicken Rice Bowl
1,Monday,Dinner,Grilled Chicken Plate
1,Tuesday,Breakfast,Protein Oats
1,Tuesday,Lunch,Chicken Rice Bowl
1,Tuesday,Dinner,Beef Patty Plate
1,Wednesday,Breakfast,Protein Oats
1,Wednesday,Lunch,Chicken Rice Bowl
1,Wednesday,Dinner,Grilled Chicken Plate
1,Thursday,Breakfast,Protein Oats
1,Thursday,Lunch,Chicken Rice Bowl
1,Thursday,Dinner,Beef Patty Plate
1,Friday,Breakfast,Protein Oats
1,Friday,Lunch,Chicken Rice Bowl
1,Friday,Dinner,Grilled Chicken Plate
1,Saturday,Breakfast,Protein Oats
1,Saturday,Lunch,Chicken Rice Bowl
1,Saturday,Dinner,Beef Patty Plate
1,Sunday,Breakfast,Protein Oats
1,Sunday,Lunch,Chicken Rice Bowl
1,Sunday,Dinner,Grilled Chicken Plate
2,Monday,Breakfast,Eggs And Oats
2,Monday,Lunch,Beef Rice Stir Fry
2,Monday,Dinner,Egg And Cheese Omelet
2,Tuesday,Breakfast,Eggs And Oats
2,Tuesday,Lunch,Beef Rice Stir Fry
2,Tuesday,Dinner,Chicken Broth Rice Soup
2,Wednesday,Breakfast,Eggs And Oats
2,Wednesday,Lunch,Beef Rice Stir Fry
2,Wednesday,Dinner,Egg And Cheese Omelet
2,Thursday,Breakfast,Eggs And Oats
2,Thursday,Lunch,Beef Rice Stir Fry
2,Thursday,Dinner,Chicken Broth Rice Soup
2,Friday,Breakfast,Eggs And Oats
2,Friday,Lunch,Beef Rice Stir Fry
2,Friday,Dinner,Egg And Cheese Omelet
2,Saturday,Breakfast,Eggs And Oats
2,Saturday,Lunch,Beef Rice Stir Fry
2,Saturday,Dinner,Chicken Broth Rice Soup
2,Sunday,Breakfast,Eggs And Oats
2,Sunday,Lunch,Beef Rice Stir Fry
2,Sunday,Dinner,Egg And Cheese Omelet
3,Monday,Breakfast,Protein Oats
3,Monday,Lunch,Chicken Rice Bowl
3,Monday,Dinner,Beef Patty Plate
3,Tuesday,Breakfast,Protein Oats
3,Tuesday,Lunch,Chicken Rice Bowl
3,Tuesday,Dinner,Grilled Chicken Plate
3,Wednesday,Breakfast,Protein Oats
3,Wednesday,Lunch,Chicken Rice Bowl
3,Wednesday,Dinner,Beef Patty Plate
3,Thursday,Breakfast,Protein Oats
3,Thursday,Lunch,Chicken Rice Bowl
3,Thursday,Dinner,Grilled Chicken Plate
3,Friday,Breakfast,Protein Oats
3,Friday,Lunch,Chicken Rice Bowl
3,Friday,Dinner,Beef Patty Plate
3,Saturday,Breakfast,Protein Oats
3,Saturday,Lunch,Chicken Rice Bowl
3,Saturday,Dinner,Grilled Chicken Plate
3,Sunday,Breakfast,Protein Oats
3,Sunday,Lunch,Chicken Rice Bowl
3,Sunday,Dinner,Beef Patty Plate
4,Monday,Breakfast,Eggs And Oats
4,Monday,Lunch,Beef Rice Stir Fry
4,Monday,Dinner,Chicken Broth Rice Soup
4,Tuesday,Breakfast,Eggs And Oats
4,Tuesday,Lunch,Beef Rice Stir Fry
4,Tuesday,Dinner,Egg And Cheese Omelet
4,Wednesday,Breakfast,Eggs And Oats
4,Wednesday,Lunch,Beef Rice Stir Fry
4,Wednesday,Dinner,Chicken Broth Rice Soup
4,Thursday,Breakfast,Eggs And Oats
4,Thursday,Lunch,Beef Rice Stir Fry
4,Thursday,Dinner,Egg And Cheese Omelet
4,Friday,Breakfast,Eggs And Oats
4,Friday,Lunch,Beef Rice Stir Fry
4,Friday,Dinner,Chicken Broth Rice Soup
4,Saturday,Breakfast,Eggs And Oats
4,Saturday,Lunch,Beef Rice Stir Fry
4,Saturday,Dinner,Egg And Cheese Omelet
4,Sunday,Breakfast,Eggs And Oats
4,Sunday,Lunch,Beef Rice Stir Fry
4,Sunday,Dinner,Chicken Broth Rice Soup
