Week,DayOfWeek,WorkoutCode,ProgressionPhase,Notes
1,Monday,StrengthA,Phase1_Base,
1,Tuesday,Cond1,Phase1_Base,
1,Wednesday,StrengthB,Phase1_Base,
1,Thursday,Yoga_Light,Phase1_Base,
1,Friday,StrengthC,Phase1_Base,
1,Saturday,Cond2,Phase1_Base,
1,Sunday,Recovery,Phase1_Base,
2,Monday,StrengthA,Phase1_Base,
2,Tuesday,Cond1,Phase1_Base,
2,Wednesday,StrengthB,Phase1_Base,
2,Thursday,Yoga_Light,Phase1_Base,
2,Friday,StrengthC,Phase1_Base,
2,Saturday,Cond2,Phase1_Base,
2,Sunday,Recovery,Phase1_Base,
3,Monday,StrengthA,Phase1_Base,
3,Tuesday,Cond1,Phase1_Base,
3,Wednesday,StrengthB,Phase1_Base,
3,Thursday,Yoga_Light,Phase1_Base,
3,Friday,StrengthC,Phase1_Base,
3,Saturday,Cond2,Phase1_Base,
3,Sunday,Recovery,Phase1_Base,
4,Monday,StrengthA,Phase1_Base,
4,Tuesday,Cond1,Phase1_Base,
4,Wednesday,StrengthB,Phase1_Base,
4,Thursday,Yoga_Light,Phase1_Base,
4,Friday,StrengthC,Phase1_Base,
4,Saturday,Cond2,Phase1_Base,
4,Sunday,Recovery,Phase1_Base,
5,Monday,StrengthA,Phase2_Volume,
5,Tuesday,Cond1,Phase2_Volume,
5,Wednesday,StrengthB,Phase2_Volume,
5,Thursday,Yoga_Light,Phase2_Volume,
5,Friday,StrengthC,Phase2_Volume,
5,Saturday,Cond2,Phase2_Volume,
5,Sunday,Recovery,Phase2_Volume,
6,Monday,StrengthA,Phase2_Volume,
6,Tuesday,Cond1,Phase2_Volume,
6,Wednesday,StrengthB,Phase2_Volume,
6,Thursday,Yoga_Light,Phase2_Volume,
6,Friday,StrengthC,Phase2_Volume,
6,Saturday,Cond2,Phase2_Volume,
6,Sunday,Recovery,Phase2_Volume,
7,Monday,StrengthA,Phase2_Volume,
7,Tuesday,Cond1,Phase2_Volume,
7,Wednesday,StrengthB,Phase2_Volume,
7,Thursday,Yoga_Light,Phase2_Volume,
7,Friday,StrengthC,Phase2_Volume,
7,Saturday,Cond2,Phase2_Volume,
7,Sunday,Recovery,Phase2_Volume,
8,Monday,StrengthA,Phase2_Volume,
8,Tuesday,Cond1,Phase2_Volume,
8,Wednesday,StrengthB,Phase2_Volume,
8,Thursday,Yoga_Light,Phase2_Volume,
8,Friday,StrengthC,Phase2_Volume,
8,Saturday,Cond2,Phase2_Volume,
8,Sunday,Recovery,Phase2_Volume,
9,Monday,StrengthA,Phase3_Supersets,
9,Tuesday,Cond1,Phase3_Supersets,
9,Wednesday,StrengthB,Phase3_Supersets,
9,Thursday,Yoga_Light,Phase3_Supersets,
9,Friday,StrengthC,Phase3_Supersets,
9,Saturday,Cond2,Phase3_Supersets,
9,Sunday,Recovery,Phase3_Supersets,
10,Monday,StrengthA,Phase3_Supersets,
10,Tuesday,Cond1,Phase3_Supersets,
10,Wednesday,StrengthB,Phase3_Supersets,
10,Thursday,Yoga_Light,Phase3_Supersets,
10,Friday,StrengthC,Phase3_Supersets,
10,Saturday,Cond2,Phase3_Supersets,
10,Sunday,Recovery,Phase3_Supersets,
11,Monday,StrengthA,Phase3_Supersets,
11,Tuesday,Cond1,Phase3_Supersets,
11,Wednesday,StrengthB,Phase3_Supersets,
11,Thursday,Yoga_Light,Phase3_Supersets,
11,Friday,StrengthC,Phase3_Supersets,
11,Saturday,Cond2,Phase3_Supersets,
11,Sunday,Recovery,Phase3_Supersets,
12,Monday,StrengthA,Phase3_Supersets,
12,Tuesday,Cond1,Phase3_Supersets,
12,Wednesday,StrengthB,Phase3_Supersets,
12,Thursday,Yoga_Light,Phase3_Supersets,
12,Friday,StrengthC,Phase3_Supersets,
12,Saturday,Cond2,Phase3_Supersets,
12,Sunday,Recovery,Phase3_Supersets,
13,Monday,StrengthA,Phase4_Load,
13,Tuesday,Cond1,Phase4_Load,
13,Wednesday,StrengthB,Phase4_Load,
13,Thursday,Yoga_Light,Phase4_Load,
13,Friday,StrengthC,Phase4_Load,
13,Saturday,Cond2,Phase4_Load,
13,Sunday,Recovery,Phase4_Load,
14,Monday,StrengthA,Phase4_Load,
14,Tuesday,Cond1,Phase4_Load,
14,Wednesday,StrengthB,Phase4_Load,
14,Thursday,Yoga_Light,Phase4_Load,
14,Friday,StrengthC,Phase4_Load,
14,Saturday,Cond2,Phase4_Load,
14,Sunday,Recovery,Phase4_Load,
15,Monday,StrengthA,Phase4_Load,
15,Tuesday,Cond1,Phase4_Load,
15,Wednesday,StrengthB,Phase4_Load,
15,Thursday,Yoga_Light,Phase4_Load,
15,Friday,StrengthC,Phase4_Load,
15,Saturday,Cond2,Phase4_Load,
15,Sunday,Recovery,Phase4_Load,
16,Monday,StrengthA,Phase4_Load,
16,Tuesday,Cond1,Phase4_Load,
16,Wednesday,StrengthB,Phase4_Load,
16,Thursday,Yoga_Light,Phase4_Load,
16,Friday,StrengthC,Phase4_Load,
16,Saturday,Cond2,Phase4_Load,
16,Sunday,Recovery,Phase4_Load,
17,Monday,StrengthA,Phase5_CondPlus,
17,Tuesday,Cond1,Phase5_CondPlus,
17,Wednesday,StrengthB,Phase5_CondPlus,
17,Thursday,Yoga_Light,Phase5_CondPlus,
17,Friday,StrengthC,Phase5_CondPlus,
17,Saturday,Cond2,Phase5_CondPlus,
17,Sunday,Recovery,Phase5_CondPlus,
18,Monday,StrengthA,Phase5_CondPlus,
18,Tuesday,Cond1,Phase5_CondPlus,
18,Wednesday,StrengthB,Phase5_CondPlus,
18,Thursday,Yoga_Light,Phase5_CondPlus,
18,Friday,StrengthC,Phase5_CondPlus,
18,Saturday,Cond2,Phase5_CondPlus,
18,Sunday,Recovery,Phase5_CondPlus,
19,Monday,StrengthA,Phase5_CondPlus,
19,Tuesday,Cond1,Phase5_CondPlus,
19,Wednesday,StrengthB,Phase5_CondPlus,
19,Thursday,Yoga_Light,Phase5_CondPlus,
19,Friday,StrengthC,Phase5_CondPlus,
19,Saturday,Cond2,Phase5_CondPlus,
19,Sunday,Recovery,Phase5_CondPlus,
20,Monday,StrengthA,Phase5_CondPlus,
20,Tuesday,Cond1,Phase5_CondPlus,
20,Wednesday,StrengthB,Phase5_CondPlus,
20,Thursday,Yoga_Light,Phase5_CondPlus,
20,Friday,StrengthC,Phase5_CondPlus,
20,Saturday,Cond2,Phase5_CondPlus,
20,Sunday,Recovery,Phase5_CondPlus,
21,Monday,StrengthA,Phase6_Peak,
21,Tuesday,Cond1,Phase6_Peak,
21,Wednesday,StrengthB,Phase6_Peak,
21,Thursday,Yoga_Light,Phase6_Peak,
21,Friday,StrengthC,Phase6_Peak,
21,Saturday,Cond2,Phase6_Peak,
21,Sunday,Recovery,Phase6_Peak,
22,Monday,StrengthA,Phase6_Peak,
22,Tuesday,Cond1,Phase6_Peak,
22,Wednesday,StrengthB,Phase6_Peak,
22,Thursday,Yoga_Light,Phase6_Peak,
22,Friday,StrengthC,Phase6_Peak,
22,Saturday,Cond2,Phase6_Peak,
22,Sunday,Recovery,Phase6_Peak,
23,Monday,StrengthA,Phase6_Peak,
23,Tuesday,Cond1,Phase6_Peak,
23,Wednesday,StrengthB,Phase6_Peak,
23,Thursday,Yoga_Light,Phase6_Peak,
23,Friday,StrengthC,Phase6_Peak,
23,Saturday,Cond2,Phase6_Peak,
23,Sunday,Recovery,Phase6_Peak,
24,Monday,StrengthA,Phase6_Peak,
24,Tuesday,Cond1,Phase6_Peak,
24,Wednesday,StrengthB,Phase6_Peak,
24,Thursday,Yoga_Light,Phase6_Peak,
24,Friday,StrengthC,Phase6_Peak,
24,Saturday,Cond2,Phase6_Peak,
24,Sunday,Recovery,Phase6_Peak,
